"CONTEXT", "ID", "TEXT"
"AccessPermitInner","ARSTOTZKA","KAZAKHSTAN"
"AccessPermitInner","Access Permit","Access Permit"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","This permit grants conditional access to the sovereign nation of Kazakhstan"
"AccessPermitInner","NAME","NAME"
"AccessPermitInner","NATIONALITY","NATIONALITY"
"AccessPermitInner","PURPOSE","PURPOSE"
"AccessPermitInner","HEIGHT","HEIGHT"
"AccessPermitInner","PHYSICAL APPEARANCE","PHYSICAL APPEARANCE"
"AccessPermitInner","ID NUMBER","ID NUMBER"
"AccessPermitInner","DURATION","DURATION"
"AccessPermitInner","WEIGHT","WEIGHT"
"AccessPermitInner","ENTER BY","ENTER BY"
"AccessPermitInner","Keep on person","Keep on person"
"AccessPermitInner","Ministry of Admission","Ministry of Admission"
"AsylumGrantInner","Arstotzka","Kazakhstan"
"AsylumGrantInner","GRANT of ASYLUM","GRANT of ASYLUM"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","This document grants conditional asylum status within Kazakh borders"
"AsylumGrantInner","NAT","NAT"
"AsylumGrantInner","ID#","ID#"
"AsylumGrantInner","DOB","DOB"
"AsylumGrantInner","HT","HT"
"AsylumGrantInner","WT","WT"
"AsylumGrantInner","Offer expires after","Offer expires after"
"AsylumGrantInner","Ministry of Admission","Ministry of Admission"
"BizCardInnerFront","ENGINEERING","ENGINEERING"
"BizCardInnerFront","Director","Director"
"BizCardInnerBack","WE NEED ENGINEERS","WE NEED ENGINEERS"
"BizCardInnerBack","WILL BEAT .GOV PAY","WILL BEAT .GOV PAY"
"BizCardInnerBack","CONTACT NOW","CONTACT NOW"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","A man named <span>Dari Ludum</span> promised me and my sister good work in Kazakhstan."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today."
"BrothelHelpInner","Please do something.","Please do something."
"BulletinInnerDiploTut","Diplomat","Diplomat"
"BulletinInnerDiploTut","Verification Procedure","Verification Procedure"
"BulletinInnerDiploTut","Verify issuing country","Verify issuing country"
"BulletinInnerDiploTut","Verify identity","Verify identity"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Verify diplomatic access to Kazakhstan"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","Missing documents can be correlated by highlighting counter and pertinent entry in rule book."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Correlate pertinent entry in rule book with violating information to enable further options."
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Correlate discovered weapons and contraband with rulebook entry."
